municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro                               ;2020/04/23 07:00:00;143;128,63;1253;1127,06;079603
Madrid-Salamanca                            ;2020/04/23 07:00:00;212;134,74;1411;896,78;079604
Madrid-Centro                               ;2020/04/23 07:00:00;222;156,09;1024;719,97;079601
Madrid-Arganzuela                           ;2020/04/23 07:00:00;231;129,48;1406;788,11;079602
Madrid-Chamartín                            ;2020/04/23 07:00:00;223;151,82;1391;947;079605
Madrid-Tetuán                               ;2020/04/23 07:00:00;312;190,85;1896;1159,79;079606
Madrid-Chamberí                             ;2020/04/23 07:00:00;262;176,45;1331;896,4;079607
Madrid-Fuencarral-El Pardo                  ;2020/04/23 07:00:00;411;183,04;2610;1162,38;079608
Madrid-Moncloa-Aravaca                      ;2020/04/23 07:00:00;252;198,61;1122;884,27;079609
Madrid-Latina                               ;2020/04/23 07:00:00;429;171,89;2402;962,45;079610
Madrid-Carabanchel                          ;2020/04/23 07:00:00;400;162,33;2331;945,95;079611
Madrid-Usera                                ;2020/04/23 07:00:00;191;128,66;1251;842,7;079612
Madrid-Puente de Vallecas                   ;2020/04/23 07:00:00;355;138,82;2728;1066,73;079613
Madrid-San Blas - Canillejas                ;2020/04/23 07:00:00;203;146,17;1298;934,65;079620
Madrid-Barajas                              ;2020/04/23 07:00:00;54;102,5;393;746;079621
Madrid-Moratalaz                            ;2020/04/23 07:00:00;180;184,85;1202;1234,39;079614
Madrid-Ciudad Lineal                        ;2020/04/23 07:00:00;333;125,82;1971;744,74;079615
Madrid-Hortaleza                            ;2020/04/23 07:00:00;245;115,96;1574;745;079616
Madrid-Villaverde                           ;2020/04/23 07:00:00;216;135,81;1271;799,15;079617
Madrid-Villa de Vallecas                    ;2020/04/23 07:00:00;109;102,22;1114;1044,74;079618
Madrid-Vicálvaro                            ;2020/04/23 07:00:00;78;108,5;716;995,99;079619
Pozuelo de Alarcón                          ;2020/04/23 07:00:00;168;190,26;652;738,39;1150  
Alcorcón                                    ;2020/04/23 07:00:00;255;145,85;1562;893,38;0072  
Navalcarnero                                ;2020/04/23 07:00:00;23;81,48;142;503,03;0967  
San Agustín del Guadalix                    ;2020/04/23 07:00:00;18;123,6;53;363,94;1296  
Las Rozas de Madrid                         ;2020/04/23 07:00:00;139;145,02;641;668,77;1277  
Moraleja de Enmedio                         ;2020/04/23 07:00:00;;74,68;22;410,75;0894  
Valdaracete                                 ;2020/04/23 07:00:00;;0;;823,72;1551  
Pozuelo del Rey                             ;2020/04/23 07:00:00;;202,02;;404,04;1163  
Puebla de la Sierra                         ;2020/04/23 07:00:00;;0;;0;1185  
Perales de Tajuña                           ;2020/04/23 07:00:00;;0;7;188,02;1104  
Valdemorillo                                ;2020/04/23 07:00:00;18;148,5;44;363,01;1603  
Navalafuente                                ;2020/04/23 07:00:00;;251,89;6;755,67;0941  
Velilla de San Antonio                      ;2020/04/23 07:00:00;8;64,04;62;496,28;1678  
Villanueva de la Cañada                     ;2020/04/23 07:00:00;39;159,94;109;447,01;1760  
Villanueva del Pardillo                     ;2020/04/23 07:00:00;17;100,66;76;450;1776  
Nuevo Baztán                                ;2020/04/23 07:00:00;;30,09;28;421,24;1006  
Villamantilla                               ;2020/04/23 07:00:00;;0;7;829,38;1757  
Villamanta                                  ;2020/04/23 07:00:00;;187,71;11;516,19;1744  
Cabanillas de la Sierra                     ;2020/04/23 07:00:00;;0;9;1554,4;0297  
Cenicientos                                 ;2020/04/23 07:00:00;;203,98;19;968,89;0376  
Puentes Viejas                              ;2020/04/23 07:00:00;;218,82;;437,64;9020  
Aranjuez                                    ;2020/04/23 07:00:00;59;93,01;410;646,37;0133  
Cercedilla                                  ;2020/04/23 07:00:00;19;253,77;92;1228,8;0382  
Santorcaz                                   ;2020/04/23 07:00:00;;0;7;1236,75;1369  
Coslada                                     ;2020/04/23 07:00:00;129;145,92;759;858,57;0493  
Morata de Tajuña                            ;2020/04/23 07:00:00;7;90,12;88;1133;0915  
Robregordo                                  ;2020/04/23 07:00:00;;0;;0;1261  
Navarredonda y San Mamés                    ;2020/04/23 07:00:00;;1204,82;;2409,64;0973  
Venturada                                   ;2020/04/23 07:00:00;;70,82;;212,46;1697  
Navacerrada                                 ;2020/04/23 07:00:00;;107,6;15;538,02;0936  
Montejo de la Sierra                        ;2020/04/23 07:00:00;;0;;279,33;0881  
Fresno de Torote                            ;2020/04/23 07:00:00;;83,26;14;1165,7;0571  
Pinilla del Valle                           ;2020/04/23 07:00:00;;0;;0;1126  
Valdemaqueda                                ;2020/04/23 07:00:00;;116,96;;467,84;1599  
Navas del Rey                               ;2020/04/23 07:00:00;;67,93;46;1562,5;0992  
Olmeda de las Fuentes                       ;2020/04/23 07:00:00;;0;;1244,81;1013  
Bustarviejo                                 ;2020/04/23 07:00:00;;112,55;6;337,65;0284  
Becerril de la Sierra                       ;2020/04/23 07:00:00;8;138,6;28;485,1;0186  
Fuenlabrada                                 ;2020/04/23 07:00:00;185;90,68;1369;671,03;0587  
Garganta de los Montes                      ;2020/04/23 07:00:00;;0;;364,96;0626  
Pinto                                       ;2020/04/23 07:00:00;37;69,61;204;383,8;1132  
Alameda del Valle                           ;2020/04/23 07:00:00;;0;;0;0035  
Berzosa del Lozoya                          ;2020/04/23 07:00:00;;1315,79;;1315,79;0203  
Los Santos de la Humosa                     ;2020/04/23 07:00:00;;59,56;19;1131,63;1375  
El Álamo                                    ;2020/04/23 07:00:00;24;243,09;59;597,59;0040  
Pelayos de la Presa                         ;2020/04/23 07:00:00;;75,05;16;600,38;1090  
Galapagar                                   ;2020/04/23 07:00:00;79;238,17;207;624,06;0611  
Griñón                                      ;2020/04/23 07:00:00;16;138,58;77;666,9;0663  
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/23 07:00:00;;0;;1027,4;0632  
Aldea del Fresno                            ;2020/04/23 07:00:00;9;298,41;41;1359,42;0088  
Carabaña                                    ;2020/04/23 07:00:00;;0;12;686,5;0357  
Talamanca de Jarama                         ;2020/04/23 07:00:00;;159,64;24;766,28;1454  
Chapinería                                  ;2020/04/23 07:00:00;;0;6;262,24;0513  
Ciempozuelos                                ;2020/04/23 07:00:00;26;101,3;172;670,15;0409  
Ajalvir                                     ;2020/04/23 07:00:00;;84,28;12;252,84;0029  
San Lorenzo de El Escorial                  ;2020/04/23 07:00:00;50;282,25;115;649,17;1317  
Gascones                                    ;2020/04/23 07:00:00;;0;;0;0647  
San Martín de la Vega                       ;2020/04/23 07:00:00;14;68,75;74;363,37;1322  
Móstoles                                    ;2020/04/23 07:00:00;384;175,71;1788;818,13;0920  
Leganés                                     ;2020/04/23 07:00:00;322;163,53;2712;1377,29;0745  
Braojos                                     ;2020/04/23 07:00:00;;0;;1242,24;0246  
Cubas de la Sagra                           ;2020/04/23 07:00:00;;72,14;21;378,72;0506  
Algete                                      ;2020/04/23 07:00:00;18;81,06;98;441,34;0091  
Mejorada del Campo                          ;2020/04/23 07:00:00;21;85,69;166;677,39;0843  
Loeches                                     ;2020/04/23 07:00:00;;43,28;48;692,54;0758  
Parla                                       ;2020/04/23 07:00:00;79;57,79;659;482,06;1065  
Fuentidueña de Tajo                         ;2020/04/23 07:00:00;;0;16;806,86;0604  
Ambite                                      ;2020/04/23 07:00:00;;200,4;7;1402,81;0112  
Torremocha de Jarama                        ;2020/04/23 07:00:00;;0;8;996,26;1533  
Anchuelo                                    ;2020/04/23 07:00:00;;0;7;916,23;0127  
Los Molinos                                 ;2020/04/23 07:00:00;7;174,69;45;1123,03;0875  
Soto del Real                               ;2020/04/23 07:00:00;7;71,46;59;602,29;1441  
Valverde de Alcalá                          ;2020/04/23 07:00:00;;0;6;2255,64;1662  
Fuente el Saz de Jarama                     ;2020/04/23 07:00:00;10;117,1;27;316,16;0590  
Horcajo de la Sierra-Aoslos                 ;2020/04/23 07:00:00;;0;;4411,76;0702  
Valdeolmos-Alalpardo                        ;2020/04/23 07:00:00;;110,7;11;405,9;1625  
Campo Real                                  ;2020/04/23 07:00:00;;16,6;23;381,81;0339  
Valdeavero                                  ;2020/04/23 07:00:00;;0;7;664,77;1564  
Villamanrique de Tajo                       ;2020/04/23 07:00:00;;146,84;;440,53;1739  
Cobeña                                      ;2020/04/23 07:00:00;35;469,36;64;858,25;0416  
Fresnedillas de la Oliva                    ;2020/04/23 07:00:00;;294,12;7;514,71;0565  
Valdilecha                                  ;2020/04/23 07:00:00;;196;17;666,41;1659  
El Berrueco                                 ;2020/04/23 07:00:00;;155,76;8;1246,11;0210  
Pezuela de las Torres                       ;2020/04/23 07:00:00;;0;;384,62;1111  
Villar del Olmo                             ;2020/04/23 07:00:00;;0;;398,01;1795  
Guadarrama                                  ;2020/04/23 07:00:00;69;436,76;155;981,14;0685  
San Martín de Valdeiglesias                 ;2020/04/23 07:00:00;21;246,22;73;855,9;1338  
Torrelodones                                ;2020/04/23 07:00:00;55;212,08;164;632,37;1527  
Boadilla del Monte                          ;2020/04/23 07:00:00;68;128,7;269;509,11;0225  
Torrejón de Velasco                         ;2020/04/23 07:00:00;;25,31;17;430,27;1505  
Villanueva de Perales                       ;2020/04/23 07:00:00;;0;;518,67;1782  
Tielmes                                     ;2020/04/23 07:00:00;;133,16;31;1375,94;1467  
San Sebastián de los Reyes                  ;2020/04/23 07:00:00;108;117,72;435;474,16;1343  
Guadalix de la Sierra                       ;2020/04/23 07:00:00;;83,82;32;536,46;0679  
Humanes de Madrid                           ;2020/04/23 07:00:00;18;87,34;99;480,4;0730  
Chinchón                                    ;2020/04/23 07:00:00;;38,75;24;465,03;0528  
Cadalso de los Vidrios                      ;2020/04/23 07:00:00;;65,72;7;230,04;0318  
Hoyo de Manzanares                          ;2020/04/23 07:00:00;7;91,37;25;326,33;0724  
Torrejón de la Calzada                      ;2020/04/23 07:00:00;11;127,6;33;382,79;1492  
Estremera                                   ;2020/04/23 07:00:00;;329,49;8;658,98;0552  
Corpa                                       ;2020/04/23 07:00:00;;0;6;1438,85;0480  
Meco                                        ;2020/04/23 07:00:00;7;50,06;123;879,7;0838  
Madarcos                                    ;2020/04/23 07:00:00;;0;;0;0783  
Zarzalejo                                   ;2020/04/23 07:00:00;10;622,28;13;808,96;1837  
Arganda del Rey                             ;2020/04/23 07:00:00;36;62,13;311;536,73;0148  
Collado Mediano                             ;2020/04/23 07:00:00;15;228,21;28;425,99;0468  
Daganzo de Arriba                           ;2020/04/23 07:00:00;;18,46;40;369,21;0534  
Manzanares El Real                          ;2020/04/23 07:00:00;10;115,37;34;392,25;0822  
Buitrago del Lozoya                         ;2020/04/23 07:00:00;;132,45;14;618,1;0278  
Valdelaguna                                 ;2020/04/23 07:00:00;;0;;121,36;1570  
Valdepiélagos                               ;2020/04/23 07:00:00;;0;;0;1631  
Casarrubuelos                               ;2020/04/23 07:00:00;;29,34;10;293,43;0360  
Miraflores de la Sierra                     ;2020/04/23 07:00:00;;90,61;32;579,92;0856  
Paracuellos de Jarama                       ;2020/04/23 07:00:00;6;26,08;66;286,84;1049  
El Vellón                                   ;2020/04/23 07:00:00;;0;12;845,07;1684  
Lozoya                                      ;2020/04/23 07:00:00;;0;;236,97;0761  
Collado Villalba                            ;2020/04/23 07:00:00;140;202,09;414;597,62;0474  
Colmenarejo                                 ;2020/04/23 07:00:00;19;234,89;38;469,77;0442  
Villavieja del Lozoya                       ;2020/04/23 07:00:00;;0;;0;1821  
Prádena del Rincón                          ;2020/04/23 07:00:00;;0;;0;1179  
La Cabrera                                  ;2020/04/23 07:00:00;;65,98;11;362,92;0301  
Sevilla la Nueva                            ;2020/04/23 07:00:00;42;422,15;77;773,95;1415  
La Acebeda                                  ;2020/04/23 07:00:00;;0;;0;0014  
Redueña                                     ;2020/04/23 07:00:00;;584,8;;1169,59;1219  
Robledillo de la Jara                       ;2020/04/23 07:00:00;;0;;1851,85;1245  
La Serna del Monte                          ;2020/04/23 07:00:00;;0;;0;1381  
Colmenar de Oreja                           ;2020/04/23 07:00:00;6;83,37;25;347,37;0437  
Rozas de Puerto Real                        ;2020/04/23 07:00:00;;510,2;;765,31;1283  
Valdemanco                                  ;2020/04/23 07:00:00;;135,14;;135,14;1586  
Brunete                                     ;2020/04/23 07:00:00;17;150,55;68;602,2;0262  
Titulcia                                    ;2020/04/23 07:00:00;;100,6;7;704,23;1473  
Villa del Prado                             ;2020/04/23 07:00:00;46;697,29;102;1546,16;1718  
Lozoyuela-Navas-Sieteiglesias               ;2020/04/23 07:00:00;;0;;261,55;9015  
Quijorna                                    ;2020/04/23 07:00:00;8;407,54;20;1018,85;1198  
Valdemoro                                   ;2020/04/23 07:00:00;70;91,63;627;820,7;1610  
Tres Cantos                                 ;2020/04/23 07:00:00;47;97,81;300;624,35;9036  
Torrelaguna                                 ;2020/04/23 07:00:00;;59,29;16;316,21;1512  
Rivas-Vaciamadrid                           ;2020/04/23 07:00:00;52;60,37;505;586,32;1230  
El Atazar                                   ;2020/04/23 07:00:00;;0;;0;0164  
Pedrezuela                                  ;2020/04/23 07:00:00;6;108,42;21;379,47;1087  
Santa María de la Alameda                   ;2020/04/23 07:00:00;;211,42;;211,42;1356  
Horcajuelo de la Sierra                     ;2020/04/23 07:00:00;;0;;0;0719  
Arroyomolinos                               ;2020/04/23 07:00:00;26;99,66;144;551,96;0151  
Moralzarzal                                 ;2020/04/23 07:00:00;9;69,11;63;483,8;0908  
Canencia                                    ;2020/04/23 07:00:00;;0;;271;0344  
Villarejo de Salvanés                       ;2020/04/23 07:00:00;;13,12;33;433,01;1809  
Serranillos del Valle                       ;2020/04/23 07:00:00;;131,61;27;710,71;1408  
Villaviciosa de Odón                        ;2020/04/23 07:00:00;29;104,54;177;638,07;1816  
Camarma de Esteruelas                       ;2020/04/23 07:00:00;6;84,31;41;576,09;0323  
Robledo de Chavela                          ;2020/04/23 07:00:00;12;318,3;22;583,55;1258  
Patones                                     ;2020/04/23 07:00:00;;436,68;;1091,7;1071  
Navalagamella                               ;2020/04/23 07:00:00;;44,44;6;266,67;0954  
Rascafría                                   ;2020/04/23 07:00:00;;67,89;;339,44;1202  
El Boalo                                    ;2020/04/23 07:00:00;12;189,72;36;569,17;0231  
Majadahonda                                 ;2020/04/23 07:00:00;112;143,65;474;607,93;0800  
Batres                                      ;2020/04/23 07:00:00;;0;8;1797,75;0170  
Alcobendas                                  ;2020/04/23 07:00:00;139;114,67;647;533,77;0066  
Alcalá de Henares                           ;2020/04/23 07:00:00;171;81,8;2192;1048,57;0053  
Colmenar Viejo                              ;2020/04/23 07:00:00;74;146,82;319;632,9;0455  
San Fernando de Henares                     ;2020/04/23 07:00:00;74;176,08;366;870,87;1300  
Villalbilla                                 ;2020/04/23 07:00:00;7;62,64;87;778,52;1723  
El Escorial                                 ;2020/04/23 07:00:00;42;252,66;84;505,32;0549  
Colmenar del Arroyo                         ;2020/04/23 07:00:00;;129,62;;324,04;0421  
Torrejón de Ardoz                           ;2020/04/23 07:00:00;85;61,47;908;656,6;1489  
Piñuécar-Gandullas                          ;2020/04/23 07:00:00;;0;;0;1147  
Brea de Tajo                                ;2020/04/23 07:00:00;;272,11;;680,27;0259  
El Molar                                    ;2020/04/23 07:00:00;10;104,23;33;343,96;0869  
Belmonte de Tajo                            ;2020/04/23 07:00:00;;72,31;;289,23;0199  
Torres de la Alameda                        ;2020/04/23 07:00:00;14;169,9;71;861,65;1548  
Somosierra                                  ;2020/04/23 07:00:00;;0;;1612,9;1436  
Alpedrete                                   ;2020/04/23 07:00:00;23;159,36;102;706,71;0105  
Orusco de Tajuña                            ;2020/04/23 07:00:00;;90,58;17;1539,86;1028  
La Hiruela                                  ;2020/04/23 07:00:00;;0;;9090,91;0698  
Cervera de Buitrago                         ;2020/04/23 07:00:00;;1851,85;;2777,78;0395  
Getafe                                      ;2020/04/23 07:00:00;210;109,72;1085;566,88;0650  
Ribatejada                                  ;2020/04/23 07:00:00;;0;;227,79;1224  
Villaconejos                                ;2020/04/23 07:00:00;;0;8;180,34;1701  
Valdetorres de Jarama                       ;2020/04/23 07:00:00;;100,58;15;377,17;1646  
Madrid-Retiro                               ;2020/04/22 07:00:00;172;154,71;1246;1120,77;079603
Madrid-Salamanca                            ;2020/04/22 07:00:00;212;134,74;1384;879,62;079604
Madrid-Centro                               ;2020/04/22 07:00:00;232;163,12;1011;710,83;079601
Madrid-Arganzuela                           ;2020/04/22 07:00:00;254;142,38;1394;781,38;079602
Madrid-Chamartín                            ;2020/04/22 07:00:00;228;155,22;1370;932,7;079605
Madrid-Tetuán                               ;2020/04/22 07:00:00;335;204,92;1869;1143,27;079606
Madrid-Chamberí                             ;2020/04/22 07:00:00;281;189,25;1310;882,26;079607
Madrid-Fuencarral-El Pardo                  ;2020/04/22 07:00:00;459;204,42;2575;1146,79;079608
Madrid-Moncloa-Aravaca                      ;2020/04/22 07:00:00;258;203,34;1096;863,78;079609
Madrid-Latina                               ;2020/04/22 07:00:00;455;182,31;2372;950,43;079610
Madrid-Carabanchel                          ;2020/04/22 07:00:00;437;177,34;2308;936,62;079611
Madrid-Usera                                ;2020/04/22 07:00:00;206;138,77;1239;834,61;079612
Madrid-Puente de Vallecas                   ;2020/04/22 07:00:00;378;147,81;2706;1058,13;079613
Madrid-San Blas - Canillejas                ;2020/04/22 07:00:00;208;149,77;1283;923,85;079620
Madrid-Barajas                              ;2020/04/22 07:00:00;60;113,89;386;732,71;079621
Madrid-Moratalaz                            ;2020/04/22 07:00:00;202;207,44;1192;1224,12;079614
Madrid-Ciudad Lineal                        ;2020/04/22 07:00:00;377;142,45;1949;736,43;079615
Madrid-Hortaleza                            ;2020/04/22 07:00:00;272;128,74;1558;737,43;079616
Madrid-Villaverde                           ;2020/04/22 07:00:00;244;153,42;1261;792,87;079617
Madrid-Villa de Vallecas                    ;2020/04/22 07:00:00;115;107,85;1104;1035,37;079618
Madrid-Vicálvaro                            ;2020/04/22 07:00:00;102;141,89;715;994,6;079619
Pozuelo de Alarcón                          ;2020/04/22 07:00:00;156;176,67;630;713,48;1150  
Alcorcón                                    ;2020/04/22 07:00:00;305;174,44;1534;877,37;0072  
Navalcarnero                                ;2020/04/22 07:00:00;23;81,48;139;492,4;0967  
San Agustín del Guadalix                    ;2020/04/22 07:00:00;22;151,07;53;363,94;1296  
Las Rozas de Madrid                         ;2020/04/22 07:00:00;133;138,76;627;654,16;1277  
Moraleja de Enmedio                         ;2020/04/22 07:00:00;;74,68;21;392,08;0894  
Valdaracete                                 ;2020/04/22 07:00:00;;164,74;;823,72;1551  
Pozuelo del Rey                             ;2020/04/22 07:00:00;;202,02;;404,04;1163  
Puebla de la Sierra                         ;2020/04/22 07:00:00;;0;;0;1185  
Perales de Tajuña                           ;2020/04/22 07:00:00;;0;7;188,02;1104  
Valdemorillo                                ;2020/04/22 07:00:00;16;132;40;330,01;1603  
Navalafuente                                ;2020/04/22 07:00:00;;251,89;6;755,67;0941  
Velilla de San Antonio                      ;2020/04/22 07:00:00;16;128,07;62;496,28;1678  
Villanueva de la Cañada                     ;2020/04/22 07:00:00;38;155,84;105;430,61;1760  
Villanueva del Pardillo                     ;2020/04/22 07:00:00;18;106,58;74;438,16;1776  
Nuevo Baztán                                ;2020/04/22 07:00:00;;45,13;28;421,24;1006  
Villamantilla                               ;2020/04/22 07:00:00;;0;7;829,38;1757  
Villamanta                                  ;2020/04/22 07:00:00;;187,71;11;516,19;1744  
Cabanillas de la Sierra                     ;2020/04/22 07:00:00;;172,71;9;1554,4;0297  
Cenicientos                                 ;2020/04/22 07:00:00;;254,97;19;968,89;0376  
Puentes Viejas                              ;2020/04/22 07:00:00;;218,82;;437,64;9020  
Aranjuez                                    ;2020/04/22 07:00:00;59;93,01;406;640,07;0133  
Cercedilla                                  ;2020/04/22 07:00:00;27;360,63;91;1215,44;0382  
Santorcaz                                   ;2020/04/22 07:00:00;;0;7;1236,75;1369  
Coslada                                     ;2020/04/22 07:00:00;149;168,55;749;847,26;0493  
Morata de Tajuña                            ;2020/04/22 07:00:00;7;90,12;87;1120,12;0915  
Robregordo                                  ;2020/04/22 07:00:00;;0;;0;1261  
Navarredonda y San Mamés                    ;2020/04/22 07:00:00;;1204,82;;2409,64;0973  
Venturada                                   ;2020/04/22 07:00:00;;70,82;;212,46;1697  
Navacerrada                                 ;2020/04/22 07:00:00;;107,6;14;502,15;0936  
Montejo de la Sierra                        ;2020/04/22 07:00:00;;0;;279,33;0881  
Fresno de Torote                            ;2020/04/22 07:00:00;;83,26;14;1165,7;0571  
Pinilla del Valle                           ;2020/04/22 07:00:00;;0;;0;1126  
Valdemaqueda                                ;2020/04/22 07:00:00;;116,96;;467,84;1599  
Navas del Rey                               ;2020/04/22 07:00:00;;67,93;45;1528,53;0992  
Olmeda de las Fuentes                       ;2020/04/22 07:00:00;;0;;1244,81;1013  
Bustarviejo                                 ;2020/04/22 07:00:00;;56,27;;281,37;0284  
Becerril de la Sierra                       ;2020/04/22 07:00:00;9;155,93;28;485,1;0186  
Fuenlabrada                                 ;2020/04/22 07:00:00;210;102,93;1361;667,11;0587  
Garganta de los Montes                      ;2020/04/22 07:00:00;;0;;364,96;0626  
Pinto                                       ;2020/04/22 07:00:00;40;75,26;202;380,04;1132  
Alameda del Valle                           ;2020/04/22 07:00:00;;0;;0;0035  
Berzosa del Lozoya                          ;2020/04/22 07:00:00;;1315,79;;1315,79;0203  
Los Santos de la Humosa                     ;2020/04/22 07:00:00;;59,56;19;1131,63;1375  
El Álamo                                    ;2020/04/22 07:00:00;27;273,47;59;597,59;0040  
Pelayos de la Presa                         ;2020/04/22 07:00:00;;75,05;16;600,38;1090  
Galapagar                                   ;2020/04/22 07:00:00;71;214,05;193;581,85;0611  
Griñón                                      ;2020/04/22 07:00:00;18;155,9;77;666,9;0663  
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/22 07:00:00;;0;;1027,4;0632  
Aldea del Fresno                            ;2020/04/22 07:00:00;10;331,56;41;1359,42;0088  
Carabaña                                    ;2020/04/22 07:00:00;;0;12;686,5;0357  
Talamanca de Jarama                         ;2020/04/22 07:00:00;6;191,57;24;766,28;1454  
Chapinería                                  ;2020/04/22 07:00:00;;0;6;262,24;0513  
Ciempozuelos                                ;2020/04/22 07:00:00;22;85,72;168;654,56;0409  
Ajalvir                                     ;2020/04/22 07:00:00;;105,35;12;252,84;0029  
San Lorenzo de El Escorial                  ;2020/04/22 07:00:00;46;259,67;107;604,01;1317  
Gascones                                    ;2020/04/22 07:00:00;;0;;0;0647  
San Martín de la Vega                       ;2020/04/22 07:00:00;14;68,75;73;358,46;1322  
Móstoles                                    ;2020/04/22 07:00:00;420;192,18;1768;808,98;0920  
Leganés                                     ;2020/04/22 07:00:00;421;213,81;2697;1369,68;0745  
Braojos                                     ;2020/04/22 07:00:00;;0;;1242,24;0246  
Cubas de la Sagra                           ;2020/04/22 07:00:00;6;108,21;21;378,72;0506  
Algete                                      ;2020/04/22 07:00:00;18;81,06;96;432,34;0091  
Mejorada del Campo                          ;2020/04/22 07:00:00;26;106,1;166;677,39;0843  
Loeches                                     ;2020/04/22 07:00:00;;43,28;48;692,54;0758  
Parla                                       ;2020/04/22 07:00:00;84;61,45;655;479,13;1065  
Fuentidueña de Tajo                         ;2020/04/22 07:00:00;;0;16;806,86;0604  
Ambite                                      ;2020/04/22 07:00:00;;200,4;7;1402,81;0112  
Torremocha de Jarama                        ;2020/04/22 07:00:00;;0;8;996,26;1533  
Anchuelo                                    ;2020/04/22 07:00:00;;130,89;7;916,23;0127  
Los Molinos                                 ;2020/04/22 07:00:00;8;199,65;43;1073,12;0875  
Soto del Real                               ;2020/04/22 07:00:00;7;71,46;59;602,29;1441  
Valverde de Alcalá                          ;2020/04/22 07:00:00;;0;6;2255,64;1662  
Fuente el Saz de Jarama                     ;2020/04/22 07:00:00;11;128,81;27;316,16;0590  
Horcajo de la Sierra-Aoslos                 ;2020/04/22 07:00:00;;0;;4411,76;0702  
Valdeolmos-Alalpardo                        ;2020/04/22 07:00:00;;73,8;10;369;1625  
Campo Real                                  ;2020/04/22 07:00:00;;16,6;23;381,81;0339  
Valdeavero                                  ;2020/04/22 07:00:00;;0;7;664,77;1564  
Villamanrique de Tajo                       ;2020/04/22 07:00:00;;146,84;;440,53;1739  
Cobeña                                      ;2020/04/22 07:00:00;35;469,36;63;844,84;0416  
Fresnedillas de la Oliva                    ;2020/04/22 07:00:00;;294,12;7;514,71;0565  
Valdilecha                                  ;2020/04/22 07:00:00;;196;17;666,41;1659  
El Berrueco                                 ;2020/04/22 07:00:00;;155,76;7;1090,34;0210  
Pezuela de las Torres                       ;2020/04/22 07:00:00;;0;;384,62;1111  
Villar del Olmo                             ;2020/04/22 07:00:00;;0;;398,01;1795  
Guadarrama                                  ;2020/04/22 07:00:00;57;360,81;142;898,85;0685  
San Martín de Valdeiglesias                 ;2020/04/22 07:00:00;20;234,49;70;820,73;1338  
Torrelodones                                ;2020/04/22 07:00:00;51;196,65;158;609,24;1527  
Boadilla del Monte                          ;2020/04/22 07:00:00;70;132,48;263;497,76;0225  
Torrejón de Velasco                         ;2020/04/22 07:00:00;;25,31;17;430,27;1505  
Villanueva de Perales                       ;2020/04/22 07:00:00;;103,73;;518,67;1782  
Tielmes                                     ;2020/04/22 07:00:00;;133,16;31;1375,94;1467  
San Sebastián de los Reyes                  ;2020/04/22 07:00:00;125;136,25;433;471,98;1343  
Guadalix de la Sierra                       ;2020/04/22 07:00:00;7;117,35;32;536,46;0679  
Humanes de Madrid                           ;2020/04/22 07:00:00;16;77,64;97;470,69;0730  
Chinchón                                    ;2020/04/22 07:00:00;;96,88;24;465,03;0528  
Cadalso de los Vidrios                      ;2020/04/22 07:00:00;;65,72;7;230,04;0318  
Hoyo de Manzanares                          ;2020/04/22 07:00:00;7;91,37;25;326,33;0724  
Torrejón de la Calzada                      ;2020/04/22 07:00:00;11;127,6;32;371,19;1492  
Estremera                                   ;2020/04/22 07:00:00;;329,49;8;658,98;0552  
Corpa                                       ;2020/04/22 07:00:00;;0;6;1438,85;0480  
Meco                                        ;2020/04/22 07:00:00;7;50,06;123;879,7;0838  
Madarcos                                    ;2020/04/22 07:00:00;;0;;0;0783  
Zarzalejo                                   ;2020/04/22 07:00:00;10;622,28;13;808,96;1837  
Arganda del Rey                             ;2020/04/22 07:00:00;38;65,58;309;533,27;0148  
Collado Mediano                             ;2020/04/22 07:00:00;12;182,57;25;380,34;0468  
Daganzo de Arriba                           ;2020/04/22 07:00:00;;27,69;40;369,21;0534  
Manzanares El Real                          ;2020/04/22 07:00:00;9;103,83;33;380,71;0822  
Buitrago del Lozoya                         ;2020/04/22 07:00:00;;132,45;14;618,1;0278  
Valdelaguna                                 ;2020/04/22 07:00:00;;0;;121,36;1570  
Valdepiélagos                               ;2020/04/22 07:00:00;;0;;0;1631  
Casarrubuelos                               ;2020/04/22 07:00:00;;0;9;264,08;0360  
Miraflores de la Sierra                     ;2020/04/22 07:00:00;;90,61;31;561,8;0856  
Paracuellos de Jarama                       ;2020/04/22 07:00:00;6;26,08;65;282,5;1049  
El Vellón                                   ;2020/04/22 07:00:00;;0;12;845,07;1684  
Lozoya                                      ;2020/04/22 07:00:00;;0;;236,97;0761  
Collado Villalba                            ;2020/04/22 07:00:00;139;200,65;399;575,97;0474  
Colmenarejo                                 ;2020/04/22 07:00:00;17;210,16;36;445,05;0442  
Villavieja del Lozoya                       ;2020/04/22 07:00:00;;0;;0;1821  
Prádena del Rincón                          ;2020/04/22 07:00:00;;0;;0;1179  
La Cabrera                                  ;2020/04/22 07:00:00;;65,98;11;362,92;0301  
Sevilla la Nueva                            ;2020/04/22 07:00:00;47;472,41;77;773,95;1415  
