TipusCasData,ComarcaCodi,ComarcaDescripcio,MunicipiCodi,MunicipiDescripcio,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
24/04/2020,39,Aran,25243,Vielha e Mijaran,1,Dona,Sospitós,6
24/04/2020,21,Maresme,08155,Palafolls,1,Dona,Positiu,1
24/04/2020,10,Baix Empordà ,17130,La Pera,1,Dona,Sospitós,1
24/04/2020,11,Baix Llobregat,08147,Olesa de Montserrat,0,Home,Sospitós,4
24/04/2020,10,Baix Empordà ,17181,Santa Cristina d'Aro,1,Dona,Positiu,1
24/04/2020,12,Baix Penedès,43163,El Vendrell,1,Dona,Sospitós,1
24/04/2020,13,Barcelonès,08245,Santa Coloma de Gramenet,1,Dona,Positiu,1
24/04/2020,21,Maresme,08121,Mataró,1,Dona,Positiu,3
24/04/2020,41,Vallès Oriental,08181,La Roca del Vallès,0,Home,Sospitós,1
24/04/2020,07,Bages,08191,Sallent,1,Dona,Sospitós,1
24/04/2020,04,Alt Urgell,25203,La Seu d'Urgell,0,Home,Sospitós,5
24/04/2020,34,Selva,17009,Arbúcies,1,Dona,Positiu,1
24/04/2020,20,Gironès,17079,Girona,0,Home,Sospitós,20
24/04/2020,39,Aran,25059,Bossòst,0,Home,Positiu,1
24/04/2020,21,Maresme,08284,Tordera,0,Home,Sospitós,1
24/04/2020,06,Anoia,08162,Els Hostalets de Pierola,1,Dona,Sospitós,2
24/04/2020,04,Alt Urgell,25165,Peramola,0,Home,Sospitós,1
24/04/2020,34,Selva,17146,Riells i Viabrea,1,Dona,Sospitós,4
24/04/2020,,,,(Altres municipis),0,Home,Sospitós,2
24/04/2020,12,Baix Penedès,43051,Cunit,0,Home,Sospitós,1
24/04/2020,10,Baix Empordà ,17902,Forallac,1,Dona,Sospitós,1
24/04/2020,31,Ripollès,17177,Sant Pau de Segúries,1,Dona,Sospitós,1
24/04/2020,34,Selva,17193,Sils,1,Dona,Sospitós,4
24/04/2020,10,Baix Empordà ,17901,Cruïlles Monells i Sant Sadurní de l'Heura,0,Home,Sospitós,1
24/04/2020,07,Bages,08213,Sant Fruitós de Bages,0,Home,Sospitós,1
24/04/2020,06,Anoia,08286,La Torre de Claramunt,1,Dona,Sospitós,2
24/04/2020,34,Selva,17023,Blanes,0,Home,Sospitós,4
24/04/2020,40,Vallès Occidental,08187,Sabadell,1,Dona,Positiu,3
24/04/2020,06,Anoia,08302,Vilanova del Camí,1,Dona,Sospitós,2
24/04/2020,40,Vallès Occidental,08184,Rubí,0,Home,Positiu,1
24/04/2020,20,Gironès,17142,Quart,1,Dona,Sospitós,1
24/04/2020,13,Barcelonès,08015,Badalona,1,Dona,Positiu,4
24/04/2020,34,Selva,17095,Lloret de Mar,1,Dona,Positiu,2
24/04/2020,21,Maresme,08197,Sant Andreu de Llavaneres,1,Dona,Sospitós,2
24/04/2020,13,Barcelonès,08101,L'Hospitalet de Llobregat,0,Home,Positiu,2
24/04/2020,20,Gironès,17089,Llagostera,1,Dona,Sospitós,2
24/04/2020,08,Baix Camp,43038,Cambrils,1,Dona,Sospitós,3
24/04/2020,28,Pla de l'Estany,17015,Banyoles,1,Dona,Sospitós,15
24/04/2020,20,Gironès,17169,Sant Julià de Ramis,1,Dona,Sospitós,1
24/04/2020,11,Baix Llobregat,08076,Esparreguera,1,Dona,Sospitós,2
24/04/2020,12,Baix Penedès,43163,El Vendrell,1,Dona,Positiu,1
24/04/2020,11,Baix Llobregat,08289,Torrelles de Llobregat,1,Dona,Sospitós,1
24/04/2020,02,Alt Empordà ,17066,Figueres,1,Dona,Positiu,1
24/04/2020,24,Osona,08233,Sant Pere de Torelló,0,Home,Sospitós,7
24/04/2020,21,Maresme,08219,Vilassar de Mar,0,Home,Sospitós,2
24/04/2020,06,Anoia,08104,La Llacuna,1,Dona,Sospitós,1
24/04/2020,06,Anoia,08044,Capellades,0,Home,Sospitós,1
24/04/2020,38,Urgell,25050,Bellpuig,0,Home,Sospitós,1
24/04/2020,21,Maresme,08284,Tordera,1,Dona,Sospitós,3
24/04/2020,40,Vallès Occidental,08252,Barberà del Vallès,1,Dona,Sospitós,5
24/04/2020,41,Vallès Oriental,08088,La Garriga,1,Dona,Sospitós,1
24/04/2020,21,Maresme,08006,Arenys de Mar,1,Dona,Sospitós,2
24/04/2020,23,Noguera,25240,Vallfogona de Balaguer,1,Dona,Sospitós,2
24/04/2020,25,Pallars Jussà ,25234,Tremp,1,Dona,Positiu,1
24/04/2020,40,Vallès Occidental,08205,Sant Cugat del Vallès,0,Home,Sospitós,11
24/04/2020,11,Baix Llobregat,08072,Corbera de Llobregat,1,Dona,Sospitós,13
24/04/2020,26,Pallars Sobirà ,25086,Esterri d'Àneu,0,Home,Sospitós,1
24/04/2020,40,Vallès Occidental,08279,Terrassa,1,Dona,Sospitós,37
24/04/2020,11,Baix Llobregat,08211,Sant Feliu de Llobregat,0,Home,Sospitós,2
24/04/2020,11,Baix Llobregat,08073,Cornellà de Llobregat,1,Dona,Positiu,1
24/04/2020,11,Baix Llobregat,08089,Gavà,0,Home,Sospitós,3
24/04/2020,20,Gironès,17044,Cassà de la Selva,0,Home,Sospitós,1
